Berufsbezeichnung,Datum,In_Neuordnung,Ministerium,Anzahl
Verfahrenstechnologe/-in Metall,2017-12-04T00:00:00Z,Nein,BMWK,468
Verfahrenstechnologe/-in Mühlen- und Getreidewirtschaft,2017-05-03T00:00:00Z,Nein,BMWK,84
Vergolder/-in,1997-05-26T00:00:00Z,Nein,BMWK,8
Verkäufer/-in,2017-06-01T00:00:00Z,Nein,BMWK,20942
Vermessungstechniker/-in,2010-05-30T00:00:00Z,Nein,BMWK,842
Verwaltungsfachangestellter/-e,1999-05-19T00:00:00Z,Nein,BMI,6934
Vorpolierer/-in-Schmuck- und Kleingeräteherstellung,1940-04-24T00:00:00Z,Nein,BMWK,0
"Wärme-, Kälte- und Schallschutzisolierer/-in",1999-06-02T00:00:00Z,Ja,BMWK,60
Wasserbauer/-in,2004-05-26T00:00:00Z,Nein,BMWK,126
Weintechnologe/-in,2014-01-27T00:00:00Z,Nein,BMWK,33
Werkfeuerwehrmann/-frau,2015-05-22T00:00:00Z,Nein,BMWK,184
"Werkgehilfe/-in Schmuckwarenindustrie, Taschen und Armbanduhren",1939-11-10T00:00:00Z,Nein,BMWK,3
Werksteinhersteller/-in,2017-03-30T00:00:00Z,Nein,BMWK,6
Werkstoffprüfer/-in,2014-01-27T00:00:00Z,Nein,BMWK,260
Werkzeugmechaniker/-in,2018-06-28T00:00:00Z,Nein,BMWK,1808
Zahntechniker/-in,2022-03-23T00:00:00Z,Nein,BMWK,1808
Zerspanungsmechaniker/-in,2018-06-28T00:00:00Z,Nein,BMWK,4334
Zimmerer/-in,2009-02-20T00:00:00Z,Ja,BMWK,4484
Zupfinstrumentenmacher/-in,2014-06-30T00:00:00Z,Nein,BMWK,2
Zweiradmechatroniker/-in,2014-06-13T00:00:00Z,Nein,BMWK,1250
Fachangestellter/-e für Arbeitsmarktdienstleistungen,2012-05-24T00:00:00Z,Nein,BMAS,674
Fachangestellter/-e für Bäderbetriebe,1997-03-26T00:00:00Z,Nein,BMI,630
Fachkraft Agrarservice,2013-05-06T00:00:00Z,Nein,BMEL,327
Fischwirt/-in,2016-02-26T00:00:00Z,Nein,BMEL,54
Forstwirt/-in,1998-01-23T00:00:00Z,Nein,BMEL,795
Gärtner/-in,1996-03-06T00:00:00Z,Nein,BMEL,5142
Justizfachangestellter/-e,1998-01-26T00:00:00Z,Ja,BMJ,744
Landwirt/-in,1995-01-31T00:00:00Z,Nein,BMEL,4426
Medizinischer/-e Fachangestellter/-e,2006-04-26T00:00:00Z,Nein,BMG,17163
Milchtechnologe/-in,2010-04-09T00:00:00Z,Nein,BMEL,207
Milchwirtschaftlicher Laborant/-in,2013-05-29T00:00:00Z,Nein,BMEL,148
Notarfachangestellter/-e,2014-08-29T00:00:00Z,Nein,BMJ,550
Patentanwaltsfachangestellter/-e,2014-08-29T00:00:00Z,Nein,BMJ,104
Pferdewirt/-in,2010-06-07T00:00:00Z,Nein,BMEL,790
Pflanzentechnologe/-in,2013-03-12T00:00:00Z,Nein,BMEL,66
Pharmazeutisch-kaufmännischer Angestellter/-e,2012-07-03T00:00:00Z,Nein,BMG,1598
Rechtsanwaltsfachangestellter/-e,2014-08-29T00:00:00Z,Nein,BMJ,2242
Rechtsanwalts- und Notarfachangestellter/-e,2014-08-29T00:00:00Z,Nein,BMJ,828
Revierjäger/-in,2010-05-18T00:00:00Z,Nein,BMEL,36
Schiffsmechaniker/-in,2013-09-10T00:00:00Z,Nein,BMDV,111
Sozialversicherungsfachangestellter/-e,1996-12-18T00:00:00Z,Nein,BMAS,2462
Steuerfachangestellter/-e,2022-08-03T00:00:00Z,Nein,BMF,6963
