Name;Straße;Hausnummer;Postleitzahl;Ort;Bemerkung;x;y
LzO-Filiale Ohmstede;Großer Kuhlenweg;36;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;449316,3236;5890400,089
LzO-Filiale Eßkamp;Nadorster Straße;313;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;448448,921;5891380,608
PERI Vertrieb Deutschland GmbH & Co. KG<br/>VIB Vertriebs- und Ingenieurbüro Oldenburg;Schlagbaumweg;29;26131;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do.: 8:00 bis 17.00 Uhr und<br/>Fr.: 8:00 bis 15:00 Uhr<br/><br/>Hinweis: Der AED befindet sich im Hochparterre eines kombinierten Büro- und Wohnhauses.;445531,3404;5885320,875
Oldenburgische Industrie- und Handelskammer ;Moslestraße;6;26122;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.;447562,969;5888526,841
KDO;Elsässer Straße;66;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do.: 08:00 - 16:30 Uhr<br/>Fr.: 08:00 - 12:30 Uhr;446556,6315;5889435,483
Oberlandesgericht Oldenburg;Richard-Wagner-Platz;1;26135;Oldenburg;"Der AED ist in der Regel erreichbar von:<br/>Mo. - Do.: 8:00  - 15:30 Uhr
Fr. und an Tagen vor gesetzl. Feiertagen sowie am 23.12. und 30.12.:<br/>8:00 Uhr - 12:00 Uhr<br/><br/>Standort: Erdgeschoss Servicepoint";447466,4341;5887413,74
EWE AG;Cloppenburger Straße;302;26133;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr.: 7:00 - 17:00 Uhr;447120,7211;5885017,172
EWE AG;Tirpitzstraße;39;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do.: 7:00 - 19:00 Uhr und<br/>Fr.: 7:00 - 17:00 Uhr;446240,8732;5888069,365
Bahama-Sports Oldenburg-Nadorst;Kreyenstraße;41;26127;Oldenburg;Der AED ist in der Regel täglich erreichbar von 9 bis 18 Uhr.<br/><br/>Standort: Küchenbereich;447944,3857;5891075,21
Praxis für Nuklearmedizin Dr. Amro;Hauptstraße;85;26131;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo., Die. und Do.: 7:30 - 15:00 Uhr<br/>Mi.: 7:30 - 13:00 Uhr;445951,4528;5887369,586
Friedrich Ahlers GmbH;Wilhelmshavener Heerstraße;267;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr.: 8:00 - 17:00 Uhr<br/><br/>Standort:<br/>zwischen den beiden Ausstellungsräumen;448342,4276;5893466,68
Famila Einkaufsland Wechloy;Posthalterweg;10;26129;Oldenburg;Der AED ist nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Standort: Information;444858,2169;5890118,984
Dieter Meyer Consulting GmbH;Bürgerstraße;1;26123;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Fr: 8:00 - 17:00 Uhr<br/><br/>Standort: Empfangsbereich;448260,032;5889165,893
Zahnarztpraxis Noureddine & Hallak;Hundsmühler Straße;63;26131;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.;445831,7989;5886787,96
Johanniter, Betreutes Wohnen;Bremer Straße;57;26135;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/>Die Zahnarztpraxis Claußen hat während der Praxiszeiten Zugriff darauf.<br/><br/>Standort: Gemeinschaftsraum;448211,1203;5887044,815
EWE AG, Verwaltungsgebäude;Donnerschweer Straße;22-26;26123;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do.: 8:00 - 17:00 Uhr und<br/>Fr. 8:00 - 15:30 Uhr;447648,3404;5888835,155
Büsing & Fasch GmbH & Co. KG;Stubbenweg;40;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. bis Fr. von 07:30 bis 16:30 Uhr<br/><br/>Standort:<br/>Erdgeschoss,Teeküche neben dem Empfang;448574,999;5892568,015
Dr. Kleihauer;Heiligengeisthöfe;12;26121;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.;447303,2985;5888633,546
Bäcker Bruno;Butjadinger Straße ;344;26125;Oldenburg;Dieser AED befindet sich im ehem. Bankschließfach und ist 24 Stunden erreichbar.<br/><br/>Eigentümer:<br/>Bürgerverein Etzhorn;449471,7602;5893344,979
GSG Oldenburg Bau- und Wohngesellschaft mbH;Straßburger Straße;8;26123;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Mi.: 8:00 - 16:30 Uhr<br/>Do.: 8:00 - 17:00 Uhr<br/>Fr.: 8:00 - 13:00 Uhr;448157,2862;5888748,564
